IsPossGoal,PlayerX,PlayerY,BallX,BallY,teammates_within_5,opponents_within_5,teammates_within_10,opponents_within_10,teammates_within_15,opponents_within_15,teammates_ahead_of_ball,opponents_ahead_of_ball
0,23.33,-3.49,21.04,-0.82,1,1,1,2,3,3,4,9
1,23.74,4.79,22.27,6.82,1,3,2,4,5,8,2,7
0,28.16,1.71,27.33,4.58,1,1,4,5,4,7,5,9
0,20.36,0.39,20.65,0.1,0,1,1,2,3,4,7,10
0,25.36,-0.51,26.73,-0.39,0,0,1,2,2,5,5,8
0,22.64,-4.2,20.91,-2.74,1,1,3,5,5,8,3,8
0,20.23,-0.9,20.72,1.51,0,0,3,2,3,5,5,9
0,23.84,-2.2,27.7,0.99,0,1,2,5,2,5,2,4
0,24.83,2.6,22.3,5.07,1,1,2,4,4,8,5,9
0,20.41,-1.3,20.65,-5.37,0,0,1,4,3,5,2,5
0,29.32,-4.08,29.45,-5.07,0,3,3,6,4,8,3,8
1,26.37,3.1,26.57,3.09,0,3,2,7,2,8,4,8
0,27.81,-0.55,28.14,-0.65,0,1,1,4,3,6,3,5
0,24.13,-4.44,23.56,-4.02,0,2,1,3,4,8,6,10
0,28.71,3.95,27.33,4.35,1,3,1,5,4,7,2,6
0,24.14,-1.2,24.29,-0.73,0,0,1,1,3,2,6,11
0,25.57,4.26,26.69,0.81,0,1,1,2,4,7,7,10
0,20.4,1.31,10.38,-2.96,1,0,3,3,4,7,3,9
0,20.97,2.54,21.66,2.29,0,1,1,3,4,5,3,5
0,27.53,-2.26,28.24,1.54,1,2,3,5,3,6,2,6
0,20.47,1.08,20.95,5.48,0,1,1,5,4,7,3,8
0,25.04,0.32,27.44,1.94,0,2,3,4,6,9,5,8
0,23.51,2.93,24.47,9.48,0,1,3,4,4,6,4,7
0,20.21,4.71,21.19,0.4,0,2,0,2,1,6,4,7
0,22.08,3.89,25.47,-1.01,2,2,3,7,5,9,5,6
0,20.76,-1.11,21.58,-0.83,0,1,1,4,3,9,5,7
0,26.88,4.29,25.82,4.54,0,2,2,4,3,7,4,9
0,20.3,-0.29,20.09,0.34,0,2,1,4,2,6,3,8
0,24.37,-4.28,24.12,-4.94,0,1,2,3,5,5,5,8
0,24.55,-4.75,24.84,-6.51,0,0,0,4,1,4,2,6
0,21.39,2.02,22.22,-3.53,0,2,1,3,3,5,4,9
0,22.1,3.03,14.38,4.95,0,1,2,4,4,7,3,8
0,25.21,0.03,25.6,-0.48,1,2,2,2,4,7,5,7
0,28.34,1.8,24.28,-4.53,0,1,1,4,4,7,5,10
0,24.81,-0.99,24.91,1.54,1,2,3,4,5,7,4,8
0,27,-1.69,27.6,-2.76,1,1,2,4,3,6,2,6
0,24.96,3.05,26,14.23,1,1,1,4,2,5,4,7
0,22.34,0.31,20.82,-7.65,1,1,1,2,3,4,7,10
0,22.56,-3.02,29.01,-5.71,2,3,3,8,5,9,3,7
1,29.51,-3.08,32.8,-4.17,1,3,2,5,3,6,2,5
0,27.51,-1,31.47,4.93,0,2,2,6,3,6,3,5
1,26.54,-4.33,26.66,-5.05,0,2,2,4,4,7,4,5
0,29.16,3.2,30.24,2.02,0,1,1,4,2,6,5,7
0,23.35,-1.81,26.11,-3.64,0,1,1,4,4,6,4,9
0,22.68,-4.04,22.51,-5.96,0,1,1,3,2,5,2,8
0,22.53,-0.51,21.65,-3.14,1,2,1,2,3,4,5,8
0,24.49,0.02,25.13,3.23,1,3,1,5,3,7,1,3
0,22.83,-2.96,25.77,-13.57,1,0,1,1,4,5,4,8
0,20.01,0.08,20.91,-2.81,0,0,0,1,2,2,5,9
0,27.13,-3.59,31.22,-8.36,1,2,1,3,2,5,3,7
0,23.59,-1.96,24.61,-1.43,0,0,1,3,3,5,5,10
0,26.68,-4.72,32.19,-4.51,0,2,1,3,3,8,3,7
0,25.88,4.59,15.31,10.75,1,2,1,5,3,6,3,6
0,24.84,-0.74,24.17,-7.72,1,1,1,1,1,5,6,11
1,26.79,0.44,27.25,-0.63,0,1,0,3,7,6,7,10
0,24.9,3.77,24.58,3.41,0,1,3,5,3,8,4,7
0,21.29,0.82,27.34,-3.02,0,1,2,5,4,7,6,9
0,21.51,4.87,25.63,7.57,0,0,0,1,1,3,6,10
0,25.91,-3.96,27.21,-2.92,0,1,1,3,2,7,3,7
0,27.09,-1.25,27.01,-0.9,0,1,1,1,2,6,6,9
0,20.39,1.57,37.38,21.83,1,1,1,2,1,2,5,9
0,26.96,1.67,28.43,2.5,0,1,1,2,2,6,5,8
0,23.48,2,23.4,2.64,0,1,1,3,3,4,2,8
0,24.22,-2.65,24.21,-3.05,0,0,1,3,5,7,5,10
0,27.79,0.64,27.87,-2.06,0,1,1,2,2,5,3,7
0,24.63,-4.15,16.68,0.34,1,2,2,5,4,7,3,8
0,23.54,2.98,24.28,3.73,0,1,3,3,4,7,4,7
0,28.54,-1.24,27.9,-2.62,0,1,1,4,3,6,3,8
0,24.56,4.92,26.93,6.9,0,2,1,3,2,5,4,6
0,23.96,1.61,25.73,4.5,0,2,2,4,5,7,5,7
0,26.65,0.9,26.16,1.03,0,1,0,1,3,5,5,8
0,23.8,4.99,24.11,5.44,0,1,1,1,4,5,5,10
0,23.26,2.74,24.05,0.38,1,2,3,5,3,8,5,7
0,24.69,3.26,25.24,3.48,0,2,0,4,3,6,3,5
0,21.78,-4.22,21.98,-5.91,0,3,1,3,2,6,5,7
0,25.8,-1.45,24.61,-2.55,0,2,3,3,5,7,2,6
0,29.51,-4.33,29.42,-1.59,1,4,2,5,3,8,3,7
0,27.51,4.24,29.94,3,1,4,1,5,3,7,2,4
0,29.18,-1.44,26.83,-2.99,0,1,1,3,2,4,1,6
1,21.55,0.35,29.24,-11.23,1,1,1,3,2,6,5,8
0,22.7,-1.03,22.86,-4.46,0,0,1,2,4,3,6,10
0,23.52,1.37,23.04,-2.13,0,4,0,4,2,6,3,5
0,21.39,3.41,12.31,4.7,1,0,2,0,3,3,7,10
0,29.97,4.6,28.64,5.3,0,3,1,5,4,7,4,8
0,26.05,4.17,26.55,1.76,0,2,1,4,3,7,4,7
0,25.11,3.01,23.82,5.15,1,3,2,5,3,8,4,9
0,24.71,-4.23,33.51,-28.53,1,1,1,1,2,2,4,7
0,21.16,-1.23,19.95,-1.03,0,2,2,3,2,6,4,8
0,21.51,2.32,22.6,5.44,1,3,2,6,4,8,3,6
0,21.39,2.14,20.82,2.37,0,3,3,6,5,9,2,9
